angle_knee,angle_hip,angle_elbow,label
57.392457468159705,84.60333357049001,171.49153657616014,mountain_climbers
48.67363543971301,90.10296899378146,169.86180935926558,mountain_climbers
146.2131855907422,160.8377590189399,169.4395657647995,mountain_climbers
57.26855500743193,55.30122370869646,170.52569255546157,mountain_climbers
127.86702338090004,129.23640069516844,175.6459238908802,mountain_climbers
69.4191052330138,68.00986251337415,170.54605724182036,mountain_climbers
174.42426222855087,171.56285129989644,91.52280132808977,plank
144.31956477697187,166.54953534138176,125.34675055576994,plank
167.72077091249923,169.66536026255662,82.09361916471245,plank
167.72077091249923,169.66536026255662,82.09361916471245,plank
168.9045100928519,174.40913648364275,77.1354317508707,plank
167.38893312387688,179.4123406614668,96.31747500833819,plank
173.38135112186058,175.3537904894258,75.57673033009408,plank
177.36659353210686,163.9608713504883,88.18227455604234,plank
154.62276551149287,168.17785597885631,85.08317366142364,pushup
172.6916791022234,170.72415856787578,75.82100581251001,pushup
167.87599225826565,174.35851911033058,83.28326370493497,side_plank
176.37796670817156,165.76584251358838,54.55548148783785,side_plank
177.2046388006587,169.49901565449693,165.99987690573502,side_plank
66.11474648599291,52.231424197826584,51.49617684126446,situp
81.53216961282044,87.34136593420021,167.46641627288403,squat
71.0894022454429,49.286285354848665,172.59873097030683,squat
107.20071656837139,95.11777772157399,79.5073015353836,squat
67.36351216588209,43.86767545142318,169.84919301307633,squat
99.0869289370554,88.64305680900648,167.67347822289616,squat
90.50853669830371,80.45835551979256,164.01899129753286,squat
92.91436730282538,83.6057844938481,149.5226489380935,squat
65.34065484736561,60.68363838462127,164.81530910252323,squat
95.45197036800595,86.60476884735698,67.63823845395756,squat
85.34556243604602,57.58227581576904,162.04666592260952,squat
85.84423908124715,84.00339691705364,159.60893475297618,squat
89.58575542817823,82.85681234953725,51.07678179126008,squat
79.99109313747488,132.51130137856288,166.24923480666973,walking_lunges
90.02572479834299,96.15304941664978,153.77648531927616,walking_lunges
71.20368444247647,167.3955780980997,126.37371917805214,walking_lunges
82.98330029657365,88.46663359341692,164.78336503442554,walking_lunges
107.96866024195738,156.2559942486389,174.2493810278973,walking_lunges
